AEM1THT  Index	Thailand Terrorism Risk Allian
AEM1TJT  Index	Tajikistan Terrorism Risk Alli
AEM1TNT  Index	Tunisia Terrorism Risk Alliant
AEM1TTT  Index	Turkmenistan Terrorism Risk Al
AEM1TUT  Index	Turkey Terrorism Risk Alliant
AEM1TZT  Index	Tanzania (United Republic of)
AEM1UAT  Index	United Arab Emirates Terrorism
AEM1UGT  Index	Uganda Terrorism Risk Alliant
AEM1UKT  Index	Ukraine Terrorism Risk Alliant
AEM1URT  Index	Uruguay Terrorism Risk Alliant
AEM1UST  Index	United States of America Terro
AEM1UZT  Index	Uzbekistan Terrorism Risk Alli
AEM1VNT  Index	Vietnam Terrorism Risk Alliant
AEM1VZT  Index	Venezuela Terrorism Risk Allia
AEM1YMT  Index	Yemen Terrorism Risk Alliant
AEM1ZAT  Index	Congo (DRC) Terrorism Risk All
AEM1ZIT  Index	Zimbabwe Terrorism Risk Allian
AEM1ZMT  Index	Zambia Terrorism Risk Alliant
